OBJECTID *,Shape *,FID_POLYLINE_2_30ftbuffer,BUFF_DIST,ORIG_FID,FID_CRASH_PHILADELPHIA_2019_XYTableToPoint,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,CRN,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,SCH_BUS_IND,SCH_ZONE_IND,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,ROADWAY_CLEARED,WEATHER1,WEATHER2,WZ_WORKERS_INJ_KILLED,SECONDARY_CRASH,INTERSECTION_RELATED
3,Point,1,30,0,231,725,1,0,0,0,0,0,0,0,0,5,0,<Null>,67,1,2019,2019009631,7,39.9515,-75.201,721,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,7,1,0,0,0,39 57:05.333,<Null>,0,75 12:03.599,9,0,0,0,67301,0,0,0,N,0,0,0,1,67504,0,<Null>,6,1,N,N,0,<Null>,0,0,1,0,0,<Null>,721,0,2,0,0,0,0,1,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
7,Point,1,30,0,905,1835,1,0,0,0,0,0,0,0,0,6,0,<Null>,67,2,2019,2019022021,7,39.9503,-75.1917,1827,6,0,0,0,0,0,0,0,0,2,0,0,0,18,3,0,1,1,39 57:01.078,4,0,75 11:30.262,0,0,0,0,67301,0,0,0,N,0,0,0,2,67504,0,<Null>,1,9,N,N,0,<Null>,0,0,1,0,0,N,1820,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,<Null>,<Null>,<Null>,<Null>
10,Point,1,30,0,2200,1511,1,0,0,0,0,0,0,0,0,8,0,<Null>,67,4,2019,2019035704,3,39.9515,-75.2008,1511,6,0,0,0,0,0,0,0,0,3,0,0,0,15,1,1,1,1,39 57:05.248,7,0,75 12:02.700,2,0,0,0,67301,1,0,1,N,1,0,1,2,67504,0,<Null>,1,1,N,N,0,<Null>,0,1,0,3,2,Y,1510,1,2,0,0,1,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
11,Point,1,30,0,2597,2316,2,0,0,0,0,0,0,0,0,1,0,<Null>,67,4,2019,2019039015,6,40.0149,-75.2068,2313,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,23,3,0,0,0,40 00:53.696,<Null>,3,75 12:24.500,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,9,N,N,0,<Null>,0,0,0,3,2,<Null>,2301,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,<Null>,<Null>,<Null>,<Null>
12,Point,1,30,0,2678,1240,0,0,0,0,0,0,0,0,0,1,0,<Null>,67,3,2019,2019040063,3,40.0092,-75.1967,1229,6,0,0,0,0,0,0,1,0,<Null>,0,0,0,12,1,1,1,0,40 00:32.988,<Null>,3,75 11:48.705,4,0,0,1,67301,0,0,0,N,0,0,0,2,67301,1,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,1215,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
13,Point,1,30,0,2806,1535,2,0,0,0,0,0,0,0,0,1,0,<Null>,67,4,2019,2019042133,3,40.0092,-75.1967,1530,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,15,1,1,1,0,40 00:33.046,<Null>,3,75 11:48.208,8,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,1510,1,2,0,0,0,1,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
15,Point,1,30,0,3385,1704,1,0,0,0,0,0,0,0,0,5,0,<Null>,67,4,2019,2019049209,1,39.9474,-75.1874,1656,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,16,1,0,0,0,39 56:50.560,<Null>,0,75 11:14.550,0,0,0,0,67301,0,0,0,N,0,0,0,19,68K01,0,<Null>,1,1,N,N,0,<Null>,0,0,3,0,0,<Null>,1656,0,5,0,0,0,0,0,3,1,5,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
16,Point,1,30,0,3632,1645,1,0,0,1,0,0,0,0,0,2,0,<Null>,67,5,2019,2019050621,6,39.951,-75.1974,1644,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,16,1,1,0,0,39 57:03.759,<Null>,0,75 11:50.621,3,0,0,0,67301,1,0,0,N,0,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,1,0,0,0,0,<Null>,1643,1,2,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
17,Point,1,30,0,3925,1333,0,0,0,1,0,0,0,0,0,2,0,<Null>,67,5,2019,2019053131,6,39.9504,-75.1926,1333,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,13,1,1,1,0,39 57:01.584,<Null>,0,75 11:33.306,3,0,0,0,67301,1,0,0,N,0,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,1,0,1,3,2,<Null>,1333,1,2,0,0,1,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
18,Point,1,30,0,4189,840,0,0,0,0,0,0,0,0,0,8,0,<Null>,67,5,2019,2019055807,5,40.0131,-75.202,834,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,8,1,1,2,0,40 00:47.031,<Null>,0,75 12:07.323,8,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,815,1,2,0,0,0,1,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
