DEC_LAT,DEC_LONG
39.9515,-75.201
39.9503,-75.1917
39.9515,-75.2008
40.0149,-75.2068
40.0092,-75.1967
40.0092,-75.1967
39.9474,-75.1874
39.951,-75.1974
39.9504,-75.1926
40.0131,-75.202
40.0138,-75.2031
40.0146,-75.2055
39.9513,-75.1991
39.9508,-75.1951
39.9504,-75.1926
39.9518,-75.2031
39.9474,-75.1876
39.9504,-75.1926
39.9505,-75.1926
39.9525,-75.2093
39.9502,-75.1916
40.013,-75.202
39.9506,-75.1936
39.9503,-75.1917
39.9519,-75.2046
40.0141,-75.2039
39.9521,-75.2056
39.9513,-75.1991
39.9474,-75.1876
40.0092,-75.1967
39.9512,-75.1991
39.9529,-75.2122
39.9504,-75.1926
39.9518,-75.2031
39.949,-75.1899
39.9503,-75.1917
39.9475,-75.1877
39.9507,-75.1944
39.9512,-75.1991
39.951,-75.1971
39.9513,-75.1991
39.9513,-75.1991
39.9475,-75.1877
39.9512,-75.1991
39.9512,-75.1991
39.9529,-75.2122
39.9504,-75.1926
39.9505,-75.1928
40.0147,-75.2058
40.0147,-75.2058
40.0149,-75.2066
39.9525,-75.2093
39.9529,-75.2122
40.0148,-75.2064
39.9521,-75.2056
39.9513,-75.1991
39.9487,-75.1894
39.9489,-75.1897
39.9521,-75.2056
39.9474,-75.1876
39.951,-75.1972
39.9521,-75.2056
40.0099,-75.1964
39.9468,-75.1868
39.9491,-75.213
39.9475,-75.1877
39.9504,-75.1926
39.9513,-75.1991
39.9526,-75.2095
40.0092,-75.1967
39.9504,-75.1926
39.9504,-75.1926
39.9528,-75.2118
40.0149,-75.2067
39.9503,-75.1917
40.0151,-75.2073
