id,address,Units,affordable,market,condo,low_income,moderate_income,middle_income,other,date,progress,construction,zIndex,top,left,path,edges,width,height
deck1,Deck 1 ,N/A,,,,,,,"Provides base for B5, B6, & B7 over existing railyard.",2023?,0,0,0,330,320,"M411.88,227.32l34.96,17.9-129.65,71.38-35.1-17.94,129.79-71.34Z",?,?,?
deck2,Deck 2,N/A,,,,,,,"Provides base for B8, B9, & B10 over existing railyard.",Date Unknown,0,0,1,173,460,"M452.92,242.55l-35.1-18.09,122.4-67.18,36.93,17.11-124.24,68.15Z",?,?,?
b10,B10,Unconfirmed,0,0,0,0,0,0,N/A,Date Unknown,0,0,2,570,140,"M513.76,142.44l31.38-16.46,24.17,13.03v38.51l-11.14,6.08-14.4-9.11-18.5,10.25-11.51-6.36v-35.95Z",?,?,?
b9,B9,Unconfirmed,0,0,0,0,0,0,N/A,Date Unknown,0,0,3,525,152,"M472.9,199.6v-45.88l29.57-16.11,11.79,6v7.71l5.27,3.09v46.05l-9.6,6.17-13.71-6.51-11.48,5.83-11.83-6.34Z",?,?,?
b8,B8,Unconfirmed,0,0,0,0,0,0,N/A,Date Unknown,0,0,4,468,198,"M423.78,224.09v-33.6l37.2-19.88,14.05,7.03v36.34l-12.41,6.59-2.61-1.46-2.66,1.49,.05,9.03-11.38,5.93-22.24-11.47Z",?,?,?
b7,B7,Unconfirmed,0,0,0,0,0,0,N/A,Date Unknown,0,0,5,420,203,"M376.25,195.75v54.5l20.44,9.42,11.38-5.88c0-4.27,.05-6.98,.05-6.98l11.62-6.37v-19.19l-2.23-1.54,.13-16.43-.87-.69-.03-15.01-12.24-6-8.15,3.92v1.67s-7.03,3.7-7.03,3.7l-2.2-.92-10.86,5.82Z",?,?,?
b6,B6,Unconfirmed,0,0,0,0,0,0,N/A,Date Unknown,0,0,6,367,251,"M341,283.94l.11,.12,12.95,6.91,9.7-5.9-.11-13.14,13.71-7.51v-27.19s-10.71-4.77-10.71-4.77l-36.31,19.4v12.06l-.98,.54v13.67l11.63,5.81Z",?,?,?
b5,B5,682,205,477,0,0,0,205,N/A,Date Unknown,1,0,7,329,270,"M297.12,277.87l6.43-3.9,1.11,.69v-22.8l14.44-8.14,6.1,3.74v11.49l4.09,2.88-.04,6.14,5.89,4.54v7.51l.93,.65-.02,14.13-8.41,5.01-.76-.51-5.09,3.17,.03,5.36-6.51,3.9-4.68-2.65-.94,.65-12.58-6.39v-25.46Z",?,?,?
b11,550 Vanderbilt Ave.,278,0,0,278,0,0,0,N/A,2017,1,0,8,633,166,"M613.25,182.58l-.13-16.33-3.62-2v-1l-1.5-.77v-4.54l-14.98-7.99-6.14,3.28-.03,2.46-2.56,1.3-1.19,.59h.02s-13.48,6.87-13.48,6.87v10.45l-2.44,1.16v12.82l10.56,5.86,11.91-6.26,3.64,1.85v2.08l-2.83,1.51v6.87l11.06,5.95,21.6-11.44v-7.72l-9.9-4.99Z",?,?,?
b12,615 Dean St.,419,126,293,0,0,0,126,N/A,2023,1,1,9,601,179,"M543.2,204.57v-34.79l4.16-2.51v-2.43s5.66-3.35,5.66-3.35l10.98,9.71v2.76s4.57,3.93,4.57,3.93l.08,23.6,2.71,1.24,3.01-1.64v-.95l8.22-4.64,9.86,5.11s.17,4.71,.17,10.89l-22.44,12.22-11.78-5.87-15.19-13.29Z",?,?,?
b13,595 Dean St.,379,107,272,0,0,0,107,N/A,2023,1,1,10,559,214,"M503.68,225.63v-27.9l9.9-5.77,.81,.73,1.41-.73,8.37,7.2v2.38s7.11,6.43,7.11,6.43l.08,16.12,1.19,.65,3.32-1.86v-1.31s9.25-5.17,9.25-5.17l10.45,5.44s.14,2.46,.14,9.79l-27.16,14.65-6.31-3.33v-2.32l-18.56-14.99Z",?,?,?
b14,535 Carlton Ave.,298,298,0,0,0,0,298,N/A,2017,1,0,11,510,233,"M460.52,221.49l16.71-8.74,1.03,.51,2.21-.77,8.38,5.33v6.66l7.59,3.96v10.43s1.37,.85,1.37,.85l7.31-4.16,12.75,6.51v9.09l-4.8,2.74-2.05-1.03-3.86,2.49v1.2l-10.97,6-18.42-9.6v-1.46l-3.61-2.15-1.71,1.03-11.91-6.34c0-4.04,0-22.55,0-22.55Z",?,?,?
b15,662 Pacific St.,312,94,208,0,0,0,94,"School (Under construction, opening 2025)",2021,1,0,12,397,318,"M372.7,327.67v-6.63l-.64-.38v-11.74l-.9-.57v-9.85l-7.4-4.04-2.97,1.68-6.44-3.21-1.98,.92v-3.56l-8.36-4.37-9.35,5.25v7.52l-2.82,1.91v17.1l15.52,8.97,2.05-.62-.04,3.83,10.34,5.13,12.99-7.33Z",?,?,?
b4,18 Sixth Ave.,858,258,600,0,0,0,258,N/A,2022,1,1,13,294,272,"M276.68,249.2l-10.8,5.82,.02,23.98,.88,.29v.59s-3.85,1.02-3.85,1.02c0,8.44-.02,20.51-.02,20.51l.49,.13-.06,2.49-.99,.57v7.86l21.81,11.4,15.99-8.27v-7.8l-.6-.4v-.69s.23-.16,.23-.16v-20.39l-2.83-1.64v-26.67l-14.12-7.4-1.91,1.03-4.25-2.29Z",?,?,?
b3,38 Sixth Ave.,303,303,0,0,91,14,198,Healthcare Center,2017,1,0,14,349,337,"M338.55,346.68l10.8-5.67v-7.36l-.7-.47v-7.88l-7.23-4.29v-5.57l-17.53-9.51-10.03,5.66v21.99l24.68,13.11Z",?,?,?
