"interval60","Count"
"2022/10/3 0:00",2
"2022/10/3 2:00",0
"2022/10/3 3:00",0
"2022/10/3 5:00",0
"2022/10/3 6:00",0
"2022/10/3 7:00",0
"2022/10/3 8:00",22
"2022/10/3 9:00",18
"2022/10/3 10:00",18
"2022/10/3 11:00",18
"2022/10/3 12:00",20
"2022/10/3 13:00",29
"2022/10/3 14:00",29
"2022/10/3 15:00",15
"2022/10/3 16:00",14
"2022/10/3 17:00",12
"2022/10/3 18:00",9
"2022/10/3 19:00",4
"2022/10/3 20:00",1
"2022/10/3 21:00",2
"2022/10/3 22:00",1
"2022/10/3 23:00",0
"2022/10/4 0:00",0
"2022/10/4 1:00",0
"2022/10/4 3:00",0
"2022/10/4 4:00",1
"2022/10/4 6:00",1
"2022/10/4 7:00",1
"2022/10/4 8:00",15
"2022/10/4 9:00",21
"2022/10/4 10:00",21
"2022/10/4 11:00",20
"2022/10/4 12:00",27
"2022/10/4 13:00",20
"2022/10/4 14:00",29
"2022/10/4 15:00",9
"2022/10/4 16:00",13
"2022/10/4 17:00",6
"2022/10/4 18:00",3
"2022/10/4 19:00",3
"2022/10/4 20:00",2
"2022/10/4 21:00",0
"2022/10/4 22:00",2
"2022/10/4 23:00",2
"2022/10/5 0:00",1
"2022/10/5 1:00",0
"2022/10/5 2:00",0
"2022/10/5 5:00",4
"2022/10/5 6:00",0
"2022/10/5 7:00",1
"2022/10/5 8:00",16
"2022/10/5 9:00",20
"2022/10/5 10:00",17
"2022/10/5 11:00",23
"2022/10/5 12:00",24
"2022/10/5 13:00",20
"2022/10/5 14:00",18
"2022/10/5 15:00",20
"2022/10/5 16:00",7
"2022/10/5 17:00",8
"2022/10/5 18:00",5
"2022/10/5 19:00",3
"2022/10/5 20:00",1
"2022/10/5 21:00",2
"2022/10/5 22:00",2
"2022/10/5 23:00",2
"2022/10/6 0:00",0
"2022/10/6 2:00",0
"2022/10/6 4:00",1
"2022/10/6 5:00",1
"2022/10/6 6:00",3
"2022/10/6 7:00",3
"2022/10/6 8:00",18
"2022/10/6 9:00",27
"2022/10/6 10:00",29
"2022/10/6 11:00",23
"2022/10/6 12:00",27
"2022/10/6 13:00",25
"2022/10/6 14:00",18
"2022/10/6 15:00",27
"2022/10/6 16:00",29
"2022/10/6 17:00",4
"2022/10/6 18:00",7
"2022/10/6 19:00",1
"2022/10/6 20:00",1
"2022/10/6 21:00",0
"2022/10/6 22:00",2
"2022/10/6 23:00",0
"2022/10/7 0:00",1
"2022/10/7 1:00",1
"2022/10/7 3:00",0
"2022/10/7 4:00",1
"2022/10/7 5:00",0
"2022/10/7 6:00",1
"2022/10/7 7:00",2
"2022/10/7 8:00",20
"2022/10/7 9:00",25
"2022/10/7 10:00",21
"2022/10/7 11:00",19
"2022/10/7 12:00",20
"2022/10/7 13:00",12
"2022/10/7 14:00",6
"2022/10/7 15:00",3
"2022/10/7 16:00",4
"2022/10/7 17:00",3
"2022/10/7 18:00",1
"2022/10/7 19:00",4
"2022/10/7 20:00",0
"2022/10/7 21:00",4
"2022/10/7 22:00",3
"2022/10/7 23:00",1
"2022/10/8 0:00",1
"2022/10/8 1:00",0
"2022/10/8 2:00",1
"2022/10/8 6:00",0
"2022/10/8 7:00",0
"2022/10/8 8:00",2
"2022/10/8 9:00",3
"2022/10/8 10:00",5
"2022/10/8 11:00",10
"2022/10/8 12:00",6
"2022/10/8 13:00",4
"2022/10/8 14:00",4
"2022/10/8 15:00",0
"2022/10/8 16:00",4
"2022/10/8 17:00",6
"2022/10/8 18:00",3
"2022/10/8 19:00",2
"2022/10/8 20:00",2
"2022/10/8 21:00",2
"2022/10/8 22:00",1
"2022/10/8 23:00",0
"2022/10/9 0:00",0
"2022/10/9 1:00",1
"2022/10/9 2:00",0
"2022/10/9 3:00",1
"2022/10/9 4:00",0
"2022/10/9 6:00",0
"2022/10/9 7:00",0
"2022/10/9 8:00",5
"2022/10/9 9:00",2
"2022/10/9 10:00",8
"2022/10/9 11:00",0
"2022/10/9 12:00",3
"2022/10/9 13:00",0
"2022/10/9 14:00",2
"2022/10/9 15:00",4
"2022/10/9 16:00",3
