Sources,First_Date,Last_Date,Years,Name,Type,Location,City,State,Lat,Long,Owner
"February1951, Filipino Forum, Pg 4",1951,1951,0,Connie's Pool Room,Recreation,200 5th Ave,Seattle,WA,47.6007,-122.32728,"Dan Sarusal, Mrs. Camposano (Prop.)"
"February1951, Filipino Forum, Pg 4
FC",1951,1953,2,Tommy's Cafe,Cafe,210 Main St,Seattle,WA,47.6001,-122.33141,Tommy Pilar (Prop.)
"February1951, Filipino Forum, Pg 2",1951,1952,1,Globe Hotel ,Hotel,107 Main St,Seattle,WA,47.59989,-122.33375,Fugami
"February1951, Filipino Forum, Pg 2",1951,1953,2,Hotel N.P.,Hotel,306 6th Ave S,Seattle,WA,47.59969,-122.32598,
"February1951, Filipino Forum, Pg 2
FC",1951,1963,12,Leyte Hotel,Hotel,618 1/2 S Jackson St,Seattle,WA,47.599345,-122.325487,Fugami
"February1951, Filipino Forum, Pg 2
FC",1951,1953,2,Vincent's Barber Shop,Beauty,409 Maynard Ave S,Seattle,WA,47.59886,-122.32544,Vincent Sabado (Prop.)
"February1951, Filipino Forum, Pg 4
FC",1951,1952,1,Mayaman's Dye Works,Service,614 S King St,Seattle,WA,47.598518,-122.324777,Roman Mayaman
"February1951, Filipino Forum, Pg 4
FC",1951,1951,0,Rodrigo Radio Sales and Service,Service,524 S King St,Seattle,WA,47.59849,-122.32666,
"October1952, Filipino Forum, Pg 3",1951,1965,14,Nitta's Food Mart,Food,609 S King Street,Seattle,WA,47.598188,-122.32607,
"February1951, Filipino Forum, Pg 4
FC",1951,1956,5,Estigoy Cafe,Cafe,504 6th Ave S,Seattle,WA,47.598178,-122.326112,
"February1951, Filipino Forum, Pg 2",1951,1960,9,Eastern Hotel,Hotel,506 1/2 Maynard Ave S,Seattle,WA,47.59801,-122.32468,
"February1951, Filipino Forum, Pg 2",1951,1956,5,Caballeros Barber Shop,Beauty,502 6th Ave S,Seattle,WA,47.59786,-122.32633,Florentino Saldivar (Proprietor)
"February1951, Filipino Forum, Pg 2",1951,1963,12,La Union Grocery,Grocery,817 8th Ave S,Seattle,WA,47.59569,-122.32254,Val Obillo (Prop.)
"February1951, Filipino Forum, Pg 4

FC

BT",1951,1975,24,Casino Cafe,Cafe,2nd Ave & Washington St,Seattle,WA,,,Ignacio Navarette (Prop.)
"February1951, Filipino Forum, Pg 3",1951,1951,0,Shell,Service,6th Ave S & Dearborn,Seattle,WA,,,Dick Sanislo 
"December1952 Filipino Forum, Pg 6
FC",1952,1953,1,Philippine Market,Grocery,615 Yesler Way,Seattle,WA,47.601552,-122.3261,Teodoro Arrellano
"October1952, Filipino Forum, Pg 4
FC",1952,1960,8,Rice Bowl Cafe,Cafe,214 Washington St,Seattle,WA,47.60096,-122.33045,
"October1952, Filipino Forum, Pg 2",1952,1952,0,Dan's Pool and Card Room,Recreation,200 5th Ave S,Seattle,WA,47.6007,-122.32728,Dan Sarusal (Prop.)
"October1952, Filipino Forum, Pg 2",1952,1953,1,Paradise Inn,Hotel,202 3rd Ave S,Seattle,WA,47.60062,-122.33003,Vicky Navarro (Prop.)
"December1952 Filipino Forum, Pg 6",1952,1952,0,Merry Meat & Fish Co,Grocery,656 S King St,Seattle,WA,47.598478,-122.324712,
"October1952, Filipino Forum, Pg 4",1952,1967,15,Mikie's Tavern,Recreation,500 6th Ave S ,Seattle,WA,47.59836,-122.32633,
"October1952, Filipino Forum, Pg 4",1952,1953,1,Filipino American Athletic Club,Recreation,612 Maynard Ave,Seattle,WA,47.597316,-122.324816,
FC,1952,1953,1,Bamboo Inn,Hotel,614 Maynard Ave S,Seattle,WA,47.597009,-122.324689,Pete Cortez (proprietor)
"July1953, Filipino Forum, Pg 2",1953,1953,0,Philippine Freight & Travel Service,Service,1707 Smith Tower Building,Seattle,WA,47.601915,-122.331829,
"July1953, Filipino Forum, Pg 3",1953,1953,0,Macapas Barber Shop,Beauty,106 4th Ave S,Seattle,WA,47.601628,-122.328767,
"June1953, Filipino Forum, Pg 2",1953,1953,0,The Rendezvous Cafe,Cafe,201 3rd Ave S,Seattle,WA,47.60091,-122.33036,Roy Baptista
"December1953, Filipino Forum, Pg 5",1953,1953,0,Dick De Asis,,518 S Jackson St,Seattle,WA,47.59941,-122.327288,Dick De Asis
"December1953, Filipino Forum, Pg 8",1953,1953,0,Corregidor Dye Works,Service,614 S King St,Seattle,WA,47.598518,-122.324777,"Mariano Fabros, Pablo Soria"
"September1953, Filipino Forum, Pg 5
FC",1953,1956,3,Manila Cafe,Cafe,616 S King St,Seattle,WA,47.598517,-122.324769,
,1953,1953,0,Ferrera Supply,Service,524 S King St,Seattle,WA,47.59849,-122.32666,Fernando Ferrera
"June1953, Filipino Forum, Pg 2",1953,1953,0,Filipino Pioneer's Club,Social,514 King St,Seattle,WA,47.598466,-122.327069,Ray Guarin
"July1953, Filipino Forum, Pg 2",1953,1953,0,Burgos Lodge No 10,Social,613 S King St,Seattle,WA,47.598188,-122.32607,
"December1953, Filipino Forum, Pg 2
FC",1953,1970,17,Liberty Barber,Beauty,506 Maynard Ave S,Seattle,WA,47.59801,-122.32468,Florencio Della (Prop.)
"December1953, Filipino Forum, Pg 4",1953,1953,0,Bataan Excel Barber Shop,Beauty,513 1/2 Maynard Ave S,Seattle,WA,47.597907,-122.32528,Cornelio Asuncio (Prop.)
"January1956, Filipino Forum, Pg 2",1956,1960,4,Bataan Grocery,Grocery,2615 1st Avenue,Seattle,WA,47.61543,-122.35059,Henry Osoteo
"January1956, Filipino Forum, Pg 3",1956,1965,9,Dell's Barber Shop,Beauty,2311 1st Ave,Seattle,WA,47.61397,-122.34744,Dell B. Blasares
"January1956, Filipino Forum, Pg 7",1956,1958,2,MM Grocery,Grocery,521 6th Ave S,Seattle,WA,47.603548,-122.327806,Alex Ocasion
"January1956, Filipino Forum, Pg 6",1956,1956,0,Basa Trade Shop,Service,212 Washington St,Seattle,WA,47.60096,-122.33048,Sidro Basa
"December1956, Filipino Forum, Pg 4
FC",1956,1965,9,Dan's Barber Shop,Beauty,502 S Main St,Seattle,WA,47.6001,-122.32765,Dan Morales (Proprietor)
