interval60,Count
2022/10/27 3:00,0
2022/10/27 4:00,0
2022/10/27 5:00,1
2022/10/27 6:00,13
2022/10/27 7:00,7
2022/10/27 8:00,22
2022/10/27 9:00,28
2022/10/27 10:00,31
2022/10/27 11:00,31
2022/10/27 12:00,29
2022/10/27 13:00,27
2022/10/27 14:00,26
2022/10/27 15:00,27
2022/10/27 16:00,32
2022/10/27 17:00,15
2022/10/27 18:00,11
2022/10/27 19:00,20
2022/10/27 20:00,3
2022/10/27 21:00,2
2022/10/27 22:00,14
2022/10/27 23:00,2
2022/10/28 0:00,1
2022/10/28 1:00,1
2022/10/28 3:00,0
2022/10/28 5:00,0
2022/10/28 6:00,0
2022/10/28 7:00,1
2022/10/28 8:00,25
2022/10/28 9:00,19
2022/10/28 10:00,18
2022/10/28 11:00,24
2022/10/28 12:00,36
2022/10/28 13:00,26
2022/10/28 14:00,23
2022/10/28 15:00,30
2022/10/28 16:00,23
2022/10/28 17:00,12
2022/10/28 18:00,7
2022/10/28 19:00,2
2022/10/28 20:00,4
2022/10/28 21:00,5
2022/10/28 22:00,3
2022/10/28 23:00,3
2022/10/29 0:00,1
2022/10/29 1:00,2
2022/10/29 3:00,0
2022/10/29 4:00,1
2022/10/29 6:00,1
2022/10/29 7:00,0
2022/10/29 8:00,4
2022/10/29 9:00,4
2022/10/29 10:00,8
2022/10/29 11:00,10
2022/10/29 12:00,3
2022/10/29 13:00,11
2022/10/29 14:00,4
2022/10/29 15:00,2
2022/10/29 16:00,13
2022/10/29 17:00,5
2022/10/29 18:00,1
2022/10/29 19:00,3
2022/10/29 20:00,0
2022/10/29 21:00,8
2022/10/29 22:00,1
2022/10/29 23:00,2
2022/10/30 0:00,0
2022/10/30 1:00,0
2022/10/30 3:00,1
2022/10/30 6:00,1
2022/10/30 7:00,2
2022/10/30 8:00,10
2022/10/30 9:00,7
2022/10/30 10:00,3
2022/10/30 11:00,10
2022/10/30 12:00,8
2022/10/30 13:00,6
2022/10/30 14:00,6
2022/10/30 15:00,4
2022/10/30 16:00,5
2022/10/30 17:00,6
2022/10/30 18:00,3
2022/10/30 19:00,5
2022/10/30 20:00,2
2022/10/30 21:00,7
2022/10/30 22:00,8
2022/10/30 23:00,0
2022/10/31 1:00,0
2022/10/31 2:00,0
2022/10/31 3:00,0
2022/10/31 5:00,0
2022/10/31 6:00,5
2022/10/31 7:00,6
2022/10/31 8:00,39
2022/10/31 9:00,44
2022/10/31 10:00,33
2022/10/31 11:00,29
2022/10/31 12:00,25
2022/10/31 13:00,38
2022/10/31 14:00,31
2022/10/31 15:00,26
2022/10/31 16:00,27
2022/10/31 17:00,10
2022/10/31 18:00,9
2022/10/31 19:00,3
2022/10/31 20:00,9
2022/10/31 21:00,6
2022/10/31 22:00,2
2022/10/31 23:00,0
2022/11/1 0:00,0
2022/11/1 4:00,1
2022/11/1 5:00,3
2022/11/1 6:00,1
2022/11/1 7:00,2
2022/11/1 8:00,48
2022/11/1 9:00,29
2022/11/1 10:00,38
2022/11/1 11:00,33
2022/11/1 12:00,29
2022/11/1 13:00,36
2022/11/1 14:00,25
2022/11/1 15:00,25
2022/11/1 16:00,25
2022/11/1 17:00,27
2022/11/1 18:00,18
2022/11/1 19:00,18
2022/11/1 20:00,3
2022/11/1 21:00,6
2022/11/1 22:00,4
2022/11/1 23:00,1
2022/11/2 0:00,1
2022/11/2 3:00,0
2022/11/2 4:00,1
2022/11/2 5:00,1
2022/11/2 6:00,2
2022/11/2 7:00,6
2022/11/2 8:00,30
2022/11/2 9:00,23
2022/11/2 10:00,38
2022/11/2 11:00,46
2022/11/2 12:00,50
2022/11/2 13:00,35
2022/11/2 14:00,39
2022/11/2 15:00,28
2022/11/2 16:00,19
2022/11/2 17:00,22
2022/11/2 18:00,13
2022/11/2 19:00,9
2022/11/2 20:00,4
2022/11/2 21:00,10
2022/11/2 22:00,4
2022/11/2 23:00,5
2022/11/3 0:00,0
2022/11/3 1:00,0
2022/11/3 3:00,1
2022/11/3 4:00,0
2022/11/3 5:00,0
2022/11/3 6:00,5
2022/11/3 7:00,7
2022/11/3 8:00,24
2022/11/3 9:00,34
2022/11/3 10:00,30
2022/11/3 11:00,33
2022/11/3 12:00,33
2022/11/3 13:00,20
2022/11/3 14:00,28
2022/11/3 15:00,29
2022/11/3 16:00,16
2022/11/3 17:00,12
2022/11/3 18:00,6
2022/11/3 19:00,4
2022/11/3 20:00,0
2022/11/3 22:00,0
2022/11/4 0:00,0
2022/11/4 7:00,0
2022/11/4 8:00,15
2022/11/4 9:00,19
2022/11/4 10:00,18
2022/11/4 11:00,68
2022/11/4 12:00,84
2022/11/4 13:00,16
2022/11/4 14:00,10
2022/11/4 15:00,19
2022/11/4 16:00,17
2022/11/4 17:00,11
2022/11/4 18:00,0
2022/11/4 19:00,3
2022/11/4 20:00,0
2022/11/4 21:00,0
2022/11/5 9:00,0
2022/11/5 12:00,0
2022/11/5 14:00,0
2022/11/5 15:00,2
2022/11/5 17:00,0
2022/11/5 18:00,1
2022/11/5 19:00,0
2022/11/5 20:00,0
2022/11/5 21:00,0
2022/11/5 23:00,0
